#step	logL
13702	-202.365
13736	-190.978
13770	-196.352
13804	-198.941
13838	-193.209
13872	-194.195
13906	-202.971
13940	-203.987
13974	-208.979
14008	-212.852
14042	-209.311
14076	-207.736
14110	-212.507
14144	-200.183
14178	-198.154
14212	-204.482
14246	-200.844
14280	-198.089
14314	-195.331
14348	-197.724
14382	-191.591
14416	-194.23
14450	-209.455
14484	-209.289
14518	-207.852
14552	-202.223
14586	-194.658
14620	-200.183
14654	-199.81
14688	-199.528
14722	-194.427
14756	-194.979
14790	-194.126
14824	-185.24
14858	-194.558
14892	-200.167
14926	-190.672
14960	-200.98
14994	-201.714
15028	-203.586
15062	-199.606
15096	-205.588
15130	-203.39
15164	-204.122
15198	-204.61
15232	-209.128
15266	-206.52
15300	-210.022
15334	-205.585
15368	-203.231
15402	-202.82
15436	-203.86
15470	-198.701
15504	-200.877
15538	-200.016
15572	-206.788
15606	-206.564
15640	-206.546
15674	-202.135
15708	-197.353
15742	-202.59
15776	-211.104
15810	-210.306
15844	-208.703
15878	-203.336
15912	-181.126
15946	-187.206
15980	-204.747
16014	-199.496
16048	-194.945
16082	-207.456
16116	-204.141
16150	-208.457
16184	-210.473
16218	-207.551
16252	-209.984
16286	-207.413
16320	-204.599
16354	-205.621
16388	-214.28
16422	-209.997
16456	-204.228
16490	-208.362
16524	-212.177
16558	-213.042
16592	-215.488
16626	-214.702
16660	-216.019
16694	-215.884
16728	-210.603
16762	-209.706
16796	-209.297
16830	-210.936
16864	-210.769
16898	-202.547
16932	-205.675
16966	-202.108
17000	-207.547
17034	-205.621
17068	-213.057
17102	-210.603
17136	-211.573
17170	-206.191
17204	-209.638
17238	-211.201
17272	-209.271
17306	-206.542
17340	-200.177
17374	-192.76
17408	-198.122
17442	-203.342
17476	-200.792
17510	-198.809
17544	-197.699
17578	-198.683
17612	-198.72
17646	-196.471
17680	-196.85
17714	-191.439
17748	-198.211
17782	-198.674
17816	-200.5
17850	-198.816
17884	-201.998
17918	-203.607
17952	-207.65
17986	-206.641
18020	-196.187
18054	-194.88
18088	-197.237
18122	-203.213
18156	-206.179
18190	-207.067
18224	-210.076
18258	-192.656
18292	-203.108
18326	-208.319
18360	-207.002
18394	-214.652
18428	-215
18462	-207.216
18496	-206.346
18530	-204.145
18564	-208.165
18598	-205.846
18632	-212.896
18666	-211.95
18700	-203.025
18734	-205.649
18768	-204.66
18802	-203.022
18836	-206.529
18870	-204.338
18904	-199.127
18938	-201.61
18972	-194.668
19006	-196.535
19040	-193.222
19074	-189.138
19108	-203.99
19142	-207.062
19176	-205.232
19210	-204.235
19244	-209.618
19278	-211.088
19312	-214.769
19346	-207.086
19380	-213.939
19414	-206.786
19448	-206.911
19482	-208.554
19516	-204.526
19550	-202.719
19584	-206.832
19618	-200.843
19652	-200.462
19686	-197.938
19720	-198.429
19754	-204.64
19788	-204.235
19822	-200.023
19856	-202.884
19890	-195.657
19924	-205.918
19958	-205.147
19992	-205.931
20026	-207.77
20060	-206.468
20094	-205.643
20128	-203.908
20162	-196.305
20196	-198.795
20230	-209.935
20264	-207.499
20298	-206.298
20332	-206.61
20366	-197.526
20400	-199.765
20434	-200.308
20468	-206.067
20502	-206.475
20536	-202.848
20570	-200.984
20604	-208.303
20638	-208.625
20672	-195.739
20706	-194.72
20740	-198.589
20774	-194.435
20808	-190.02
20842	-198.775
20876	-198.745
20910	-199.179
20944	-201.51
20978	-203.216
21012	-206.105
21046	-208.517
21080	-206.132
21114	-205.879
21148	-210.846
21182	-209.661
21216	-206.251
21250	-208.576
21284	-198.133
21318	-199.801
21352	-214.069
21386	-215.652
21420	-210.601
21454	-211.023
21488	-213.606
21522	-213.356
21556	-210.921
21590	-207.142
21624	-204.801
21658	-211.242
21692	-212.055
21726	-209.612
21760	-207.661
21794	-209.53
21828	-205.894
21862	-207.009
21896	-207.816
21930	-205.042
21964	-204.972
21998	-193.3
22032	-198.812
22066	-206.348
22100	-205.129
22134	-208.825
22168	-198.793
22202	-202.812
22236	-191.999
22270	-191.061
22304	-195.029
22338	-189.614
22372	-191.639
22406	-192.936
22440	-199.844
22474	-191.852
22508	-190.723
22542	-194.911
22576	-187.699
22610	-188.576
22644	-204.753
22678	-204.745
22712	-194.92
22746	-201.755
22780	-204.165
22814	-198.68
22848	-198.921
22882	-203.654
22916	-199.601
22950	-207.328
22984	-203.683
23018	-203.114
23052	-198.086
23086	-206.639
23120	-202.227
23154	-199.347
23188	-196.629
23222	-190.089
23256	-196.629
23290	-192.997
23324	-202.63
23358	-202.188
23392	-204.721
23426	-207.412
23460	-202.164
